Date,Total_event_runners,temperature,windspeed,precipitation,ave_run_time,best_time,worst_time
2009-03-14,97.0,9.9,27.7,0.0,24.77,18.07,44.58
2009-03-21,172.0,6.4,8.0,0.0,24.551839080459768,16.23,43.38
2009-03-28,143.0,5.6,37.0,0.0,24.95360465116279,16.18,44.5
2009-04-04,115.0,9.3,20.2,0.2,24.976617647058823,17.98,35.97
2009-04-11,111.0,9.4,7.4,0.0,24.7544776119403,18.0,43.13
2009-04-18,138.0,9.4,21.9,0.0,24.79294871794872,16.78,44.33
2009-04-25,120.0,10.2,27.3,0.0,24.83625,18.05,47.02
2009-05-02,147.0,10.9,10.5,0.0,24.742934782608696,17.2,44.28
2009-05-09,160.0,11.1,11.2,0.0,24.33282608695652,17.63,41.87
2009-05-16,130.0,12.0,38.9,0.0,24.652121212121212,17.27,42.08
2009-05-23,166.0,13.8,13.8,0.0,24.479195402298853,16.88,42.67
2009-05-30,170.0,16.5,23.4,0.0,24.503238095238096,15.97,38.77
2009-06-06,120.0,12.8,29.899999999999995,0.0,24.990277777777777,16.7,38.0
2009-06-13,168.0,15.7,10.9,0.0,24.234105263157893,17.78,58.75
2009-06-20,204.0,13.8,11.1,0.0,25.072066115702476,17.55,44.38
2009-06-27,180.0,18.0,14.699999999999998,0.0,26.06963963963964,18.2,45.85
2009-07-04,149.0,17.6,14.6,0.0,25.47907216494845,17.22,43.58
2009-07-05,43.0,18.0,17.9,0.0,23.434193548387096,18.12,32.18
2009-07-11,158.0,15.7,28.0,0.1,26.30127450980392,16.65,44.05
2009-07-18,198.0,16.5,37.5,0.0,25.61025,15.88,43.8
2009-07-25,168.0,17.1,21.0,0.0,25.735145631067958,18.23,42.85
2009-08-01,179.0,17.1,20.6,0.0,25.93838383838384,18.4,43.67
2009-08-08,192.0,18.4,7.1,0.0,26.115508474576274,17.15,50.87
2009-08-15,182.0,18.0,23.6,0.0,25.790454545454544,16.1,47.53
2009-08-22,199.0,16.7,13.8,0.0,25.68982142857143,16.62,43.02
2009-08-29,174.0,14.9,20.6,0.0,26.18863247863248,15.13,43.93
2009-09-05,196.0,14.1,25.9,0.0,25.19,16.22,45.42
2009-09-12,298.0,16.0,32.6,0.0,25.65137931034483,15.95,45.63
2009-09-19,216.0,17.0,14.8,0.0,25.337175572519083,16.5,34.5
2009-09-26,205.0,14.6,11.3,0.0,25.652642857142855,17.22,43.85
2009-10-03,145.0,14.2,45.0,0.0,25.439787234042555,17.32,43.03
2009-10-10,190.0,13.4,23.3,0.0,26.20181102362205,17.3,43.42
2009-10-17,201.0,9.1,29.4,0.0,25.26560283687943,16.08,47.5
2009-10-24,143.0,15.4,29.8,0.6999999999999998,25.449895833333333,17.1,44.25
2009-10-31,254.0,14.5,23.0,1.1,26.319666666666667,16.7,43.73
2009-11-07,224.0,6.8,27.3,0.0,26.32,16.92,43.1
2009-11-14,150.0,11.5,58.5,1.0,26.56695121951219,19.97,40.57
2009-11-21,211.0,13.2,31.5,0.0,25.76587786259542,16.73,38.62
2009-11-28,196.0,7.7,49.6,0.0,26.19375,17.73,42.2
2009-12-05,182.0,9.2,40.8,0.0,26.477610619469026,16.45,45.73
2009-12-12,178.0,5.8,35.0,0.0,25.64130841121495,18.73,42.37
2009-12-19,41.0,-2.4,28.8,0.0,27.5934375,19.55,36.75
2010-01-02,167.0,0.2,21.9,0.0,26.99429906542056,16.5,52.33
2010-01-09,44.0,-1.5,41.2,0.0,25.49235294117647,20.02,31.53
2010-01-16,146.0,5.8,44.9,1.4,25.91397727272727,18.8,44.42
2010-01-23,243.0,6.6,21.6,0.0,27.07097222222222,16.83,46.4
2010-01-30,219.0,-1.0,29.8,0.0,27.232720588235296,15.77,44.07
2010-02-06,214.0,5.5,25.8,0.0,27.04406015037594,16.32,43.58
2010-02-13,240.0,0.9,35.5,0.0,25.971793103448274,16.65,46.65
2010-02-20,140.0,0.3,13.3,0.0,27.443103448275863,15.5,44.0
2010-02-27,236.0,7.7,39.6,0.0,26.09569536423841,16.82,42.97
2010-03-06,177.0,4.3,23.9,0.0,25.86438596491228,16.78,43.23
2010-03-13,185.0,4.5,16.2,0.0,26.294873949579834,16.73,43.58
2010-03-20,164.0,10.1,38.0,0.2,26.834948453608245,16.63,40.45
2010-03-27,172.0,8.6,9.3,0.0,26.90703703703704,16.67,46.48
2010-04-03,187.0,7.5,28.399999999999995,0.20000000000000004,26.039189189189187,16.42,45.3
2010-04-10,176.0,10.5,13.6,0.0,26.94781512605042,16.08,44.68
2010-04-17,146.0,7.8999999999999995,15.1,0.0,27.581627906976745,17.83,43.78
2010-04-24,210.0,11.4,16.5,0.0,27.17140625,18.37,44.62
2010-05-01,223.0,11.2,18.9,0.0,26.525923076923075,17.98,46.07
2010-05-08,233.0,8.8,17.4,0.0,26.247375886524825,16.5,44.1
2010-05-15,263.0,11.2,8.0,0.0,26.079276315789475,18.07,44.63
2010-05-22,282.0,14.3,17.4,0.0,26.646562499999998,15.83,43.87
2010-05-29,301.0,12.5,27.6,0.5,26.0899358974359,16.45,46.92
2010-06-05,274.0,18.6,14.0,0.0,27.31853146853147,18.23,46.15
2010-06-12,258.0,14.3,19.7,0.0,26.891966292134835,18.08,44.37
2010-06-19,234.0,11.8,27.4,0.0,25.80889655172414,18.27,43.05
2010-06-26,234.0,18.9,8.0,0.0,26.49436090225564,16.77,43.3
2010-07-03,229.0,17.8,13.6,0.0,25.631212121212123,17.33,42.0
2010-07-10,247.0,19.5,14.2,0.0,25.659594594594594,17.65,39.93
2010-07-17,223.0,15.5,27.7,0.0,25.986884057971015,16.95,46.4
2010-07-24,247.0,18.1,12.5,0.0,26.10186746987952,17.78,46.9
2010-07-31,245.0,17.4,26.6,0.0,26.048028169014085,17.82,43.2
2010-08-07,229.0,17.5,25.6,0.0,25.815472972972973,15.53,43.72
2010-08-14,242.0,14.2,14.0,0.2,26.40359712230216,16.42,43.68
2010-08-21,264.0,18.7,30.399999999999995,0.0,26.199937106918238,17.38,42.88
2010-08-28,265.0,14.700000000000001,19.6,0.0,26.10761904761905,15.48,43.77
2010-09-04,291.0,16.5,21.2,0.0,26.60902298850575,17.68,44.7
2010-09-11,265.0,17.1,35.2,0.0,26.41987421383648,17.03,43.77
2010-09-18,269.0,11.5,18.2,0.0,26.95524096385542,18.15,45.17
2010-09-25,271.0,8.9,32.0,0.0,26.642666666666667,17.87,43.48
2010-10-02,247.0,14.200000000000001,14.4,0.0,26.350394736842105,17.83,44.97
2010-10-09,266.0,15.5,34.2,0.0,26.046125,17.7,40.55
2010-10-16,294.0,9.5,37.2,0.0,26.272899408284022,16.8,44.65
2010-10-23,216.0,10.9,36.8,0.0,27.17390243902439,16.9,46.28
2010-10-30,256.0,11.5,28.3,0.1,26.104966887417216,16.67,44.63
2010-11-06,367.0,10.1,15.9,0.0,25.95752336448598,15.4,44.88
2010-11-13,288.0,10.1,21.4,0.0,26.354725274725272,17.15,44.37
2010-11-20,204.0,8.0,31.0,0.0,26.70675,18.82,41.57
2010-11-27,228.0,0.1,19.1,0.2,26.217655172413792,18.7,46.83
2010-12-04,111.0,4.9,26.5,0.0,27.038666666666668,18.52,47.37
2010-12-11,194.0,4.0,19.6,0.0,25.82034782608696,16.13,47.35
2010-12-18,65.0,0.0,29.4,1.2,26.843076923076925,19.97,45.0
2010-12-25,136.0,-2.4,24.2,0.0,26.30931506849315,18.68,46.68
2011-01-01,133.0,4.4,15.8,0.1,26.322465753424655,16.77,46.22
2011-01-08,238.0,9.1,48.7,0.0,26.303623188405798,15.72,46.43
2011-01-15,310.0,8.9,44.6,0.0,26.344775280898876,18.5,45.82
2011-01-22,342.0,1.8,28.5,0.0,26.67005208333333,17.38,46.28
2011-01-29,268.0,1.0,29.8,0.0,25.954666666666668,17.08,47.15
2011-02-05,248.0,9.7,52.1,0.1,25.736107382550333,18.55,46.65
2011-02-12,283.0,7.7,20.9,0.0,26.510114942528737,18.22,46.3
2011-02-19,192.0,6.3,35.7,1.1,28.038545454545453,19.1,46.55
2011-02-26,308.0,8.4,37.9,0.0,26.1610303030303,15.4,46.47
2011-03-05,257.0,1.6,23.4,0.0,26.23,17.0,45.87
2011-03-12,301.0,7.6,24.0,0.0,26.08929824561404,16.45,46.03
2011-03-19,294.0,4.2,14.8,0.0,25.91181818181818,15.42,47.52
2011-03-26,287.0,8.6,11.900000000000002,0.0,26.066300578034685,17.62,47.88
2011-04-02,301.0,12.9,28.7,0.0,25.875089820359282,16.28,46.85
2011-04-09,279.0,11.9,22.5,0.0,27.069666666666667,17.27,46.98
2011-04-16,304.0,11.2,2.0,0.0,26.92485380116959,17.9,47.97
2011-04-23,353.0,16.8,8.0,0.0,26.487135135135134,16.68,45.25
2011-04-30,318.0,15.2,26.9,0.0,26.40742857142857,16.58,47.45
2011-05-07,385.0,14.199999999999998,19.1,0.3,26.304622641509432,17.88,47.23
2011-05-14,419.0,11.9,18.2,0.0,25.937751004016064,16.88,48.02
2011-05-21,399.0,14.099999999999998,13.599999999999998,0.0,25.863899082568807,17.48,54.45
2011-05-28,376.0,12.3,36.1,0.0,26.34328282828283,17.72,52.12
2011-06-04,371.0,18.1,30.2,0.0,26.854111675126905,18.33,50.77
2011-06-11,386.0,12.0,13.400000000000002,0.0,26.784449541284406,16.25,51.25
2011-06-18,340.0,13.5,38.0,0.0,25.31808510638298,16.45,38.85
2011-06-25,308.0,16.0,38.0,0.0,26.95627218934911,16.45,52.75
2011-07-02,359.0,16.2,9.9,0.0,26.088834951456313,16.43,46.57
2011-07-09,349.0,16.0,31.900000000000002,0.0,26.051043956043955,16.32,46.77
2011-07-16,281.0,15.799999999999999,40.6,0.6,26.08703947368421,16.97,45.07
2011-07-23,377.0,13.9,19.8,0.0,25.92995283018868,16.92,44.88
2011-07-30,352.0,14.9,8.9,0.0,26.050486486486488,15.28,45.7
2011-08-06,349.0,16.1,17.6,0.2,26.54786885245902,17.0,45.7
2011-08-13,262.0,16.9,30.7,0.1,26.183311258278145,19.53,45.8
2011-08-20,391.0,16.8,14.9,0.0,25.790439024390245,17.53,41.43
2011-08-27,340.0,14.3,27.0,0.0,26.062169312169313,16.12,39.92
2011-09-03,399.0,17.6,14.3,0.0,26.53448275862069,17.07,42.98
2011-09-10,362.0,19.1,25.4,0.0,25.988691588785045,17.27,42.58
2011-09-17,322.0,15.100000000000001,40.1,0.8000000000000002,26.547633136094674,17.87,42.42
2011-09-24,332.0,15.6,17.3,0.0,25.86717277486911,18.02,40.53
